wavelength,Intensity
777.0,2372.25
778.0,2358.8955334521024
779.0,43027.012790477005
780.0,19225.60832491638
781.0,7897.564214539397
782.0,4312.562834992162
783.0,2842.6848720082426
784.0,2444.7842675877096
785.0,2373.526225135843
786.0,2602.469016485978
787.0,3417.93083994735
788.0,5027.690362792138
789.0,9069.359059836042
790.0,14103.188368951696
791.0,20179.706389640283
792.0,46873.74180990442
793.0,37824.17707531098
794.0,36879.26341657185
795.0,40442.517819213186
796.0,43187.80166426663
797.0,59731.718869328375
798.0,25717.53496209007
799.0,17632.060262683084
800.0,10791.134423530744
801.0,6065.350870959636
802.0,3742.1587084142793
803.0,2759.7963735966555
804.0,2463.047273095189
805.0,2365.9182622787184
