wavelength,Intensity
777.0,2353.8
778.0,2353.07467553834
779.0,22329.73013777807
780.0,14283.213824387738
781.0,8993.850667314715
782.0,5409.0332545921565
783.0,3937.9966287224192
784.0,4418.088410397101
785.0,4279.159352243232
786.0,2580.3693093050288
787.0,3443.1106334207507
788.0,3653.823522529413
789.0,2793.1340102940603
790.0,5205.557695242278
791.0,5272.845022939262
792.0,6349.427401451691
793.0,5896.165517271676
794.0,6787.757112033533
795.0,6597.463813753197
796.0,7545.554292520225
797.0,7079.782160406711
798.0,6110.643729727365
799.0,5299.056185646426
800.0,4468.176269420444
801.0,3691.2530779987496
802.0,3323.0405916254235
803.0,2894.3417686208004
804.0,2616.1603003340874
805.0,2424.082886561959
